"Gilt Name","Close of Business Date","ISIN","Type","Coupon","Maturity","Clean Price","Dirty Price","Yield","Mod Duration","Accrued Interest"
"UKTB  07/26","8/21/2025","GB00BSGN9349","Bills","N/A","7/13/2026","96.505254","N/A","4.067000","0.859293","N/A"
"UKTB  08/26","8/21/2025","GB00BSGNLX88","Bills","N/A","8/17/2026","96.143411","N/A","4.067000","0.948264","N/A"
"BTF  08/25","8/21/2025","FR0128838473","Conventional","N/A","8/27/2025","99.989","N/A","1.974000","0.005555","N/A"
"RATB  08/25","8/21/2025","AT0000A3KPF0","Conventional","N/A","8/28/2025","99.984","N/A","1.952500","0.008332","N/A"
"DTC  08/25","8/21/2025","NL0015002F23","Conventional","N/A","8/28/2025","99.984","N/A","1.938000","0.008332","N/A"
"BTF  09/25","8/21/2025","FR0128983923","Conventional","N/A","9/3/2025","99.951","N/A","1.945500","0.024988","N/A"
"LET  09/25","8/21/2025","ES0L02509054","Conventional","N/A","9/5/2025","99.940","N/A","1.951600","0.030537","N/A"
"EUB  09/25","8/21/2025","EU000A4D7LA8","Conventional","N/A","9/5/2025","99.941","N/A","1.941000","0.030537","N/A"
"UKT 2 09/25","8/21/2025","GB00BTHH2R79","Conventional","2.000","9/7/2025","99.909","100.822043","3.789678","0.046493","0.913043"
"BTF  09/25","8/21/2025","FR0128537240","Conventional","N/A","9/10/2025","99.913","N/A","1.948000","0.044406","N/A"
"BTC  09/25","8/21/2025","BE0312802748","Conventional","N/A","9/11/2025","99.911","N/A","1.876000","0.047180","N/A"
"BOT  09/25","8/21/2025","IT0005611659","Conventional","N/A","9/12/2025","99.903","N/A","1.933500","0.049952","N/A"
"RFGB 0.875 09/25","8/21/2025","FI4000167317","Conventional","0.875","9/15/2025","99.935","100.759658","1.962392","0.058267","0.824658"
"CCT 2.936 09/25","8/21/2025","IT0005331878","Conventional","2.936","9/15/2025","100.053","101.382360","1.999709","N/A","1.329360"
"BUB  09/25","8/21/2025","DE000BU0E212","Conventional","N/A","9/17/2025","99.896","N/A","1.635000","0.063822","N/A"
"BTF  09/25","8/21/2025","FR0128983931","Conventional","N/A","9/17/2025","99.876","N/A","1.949000","0.063809","N/A"
"BKO 3.1 09/25","8/21/2025","DE000BU22023","Conventional","3.100","9/18/2025","100.080","102.976164","1.803849","0.066587","2.896164"
"PTC  09/25","8/21/2025","PTPBTXGE0042","Conventional","N/A","9/19/2025","99.865","N/A","1.939500","0.069351","N/A"
"BTF  09/25","8/21/2025","FR0128838481","Conventional","N/A","9/24/2025","99.838","N/A","1.948750","0.083198","N/A"
"RATB  09/25","8/21/2025","AT0000A3GRJ6","Conventional","N/A","9/25/2025","99.836","N/A","1.905000","0.085970","N/A"
"BTPS 3.6 09/25","8/21/2025","IT0005557084","Conventional","3.600","9/29/2025","100.145","101.602610","1.998273","0.097034","1.457610"
"DTC  09/25","8/21/2025","NL0015002GV8","Conventional","N/A","9/29/2025","99.816","N/A","1.900750","0.097043","N/A"
"BOT  09/25","8/21/2025","IT0005643009","Conventional","N/A","9/30/2025","99.805","N/A","1.954000","0.099805","N/A"
"BTF  10/25","8/21/2025","FR0128983949","Conventional","N/A","10/1/2025","99.800","N/A","1.953625","0.102572","N/A"
"EUB  10/25","8/21/2025","EU000A4D85M6","Conventional","N/A","10/3/2025","99.788","N/A","1.959000","0.108104","N/A"
"BTF  10/25","8/21/2025","FR0128690718","Conventional","N/A","10/8/2025","99.763","N/A","1.946000","0.121932","N/A"
"OBL  10/25","8/21/2025","DE0001141828","Conventional","N/A","10/10/2025","99.766","99.766000","1.835600","0.127479","N/A"
"OBL  10/25","8/21/2025","DE0001030716","Conventional","N/A","10/10/2025","99.763","99.763000","1.859189","0.127475","N/A"
"LET  10/25","8/21/2025","ES0L02510102","Conventional","N/A","10/10/2025","99.750","N/A","1.958429","0.127459","N/A"
"BOT  10/25","8/21/2025","IT0005617367","Conventional","N/A","10/14/2025","99.733","N/A","1.924000","0.138519","N/A"
"BUB  10/25","8/21/2025","DE000BU0E220","Conventional","N/A","10/15/2025","99.770","N/A","1.627500","0.141341","N/A"
"BTF  10/25","8/21/2025","FR0129132637","Conventional","N/A","10/15/2025","99.724","N/A","1.953750","0.141276","N/A"
"PGB 2.875 10/25","8/21/2025","PTOTEKOE0011","Conventional","2.875","10/15/2025","100.110","102.583288","2.007292","0.141265","2.473288"
"BTC  10/25","8/21/2025","BE0312806780","Conventional","N/A","10/16/2025","99.723","N/A","1.922000","0.144045","N/A"
"RAGB 1.2 10/25","8/21/2025","AT0000A1FAP5","Conventional","1.200","10/20/2025","99.883","100.898890","1.918460","0.155093","1.015890"
"BTF  10/25","8/21/2025","FR0128983956","Conventional","N/A","10/22/2025","99.686","N/A","1.954000","0.160606","N/A"
"UKT 3.5 10/25","8/21/2025","GB00BPCJD880","Conventional","3.500","10/22/2025","99.895","101.061667","4.075448","0.165993","1.166667"
"FRTR 6 10/25","8/21/2025","FR0000571150","Conventional","6.000","10/25/2025","100.648","105.645260","1.918765","0.174414","4.997260"
"BTF  10/25","8/21/2025","FR0129132645","Conventional","N/A","10/29/2025","99.649","N/A","1.951000","0.179922","N/A"
"RATB  10/25","8/21/2025","AT0000A3KPE3","Conventional","N/A","10/30/2025","99.641","N/A","1.962500","0.182676","N/A"
"DTC  10/25","8/21/2025","NL0015002HM5","Conventional","N/A","10/30/2025","99.653","N/A","1.897000","0.182698","N/A"
"SPGB 2.15 10/25","8/21/2025","ES00000127G9","Conventional","2.150","10/31/2025","100.023","101.778342","1.962073","0.185434","1.755342"
"EU  11/25","8/21/2025","EU000A284451","Conventional","N/A","11/4/2025","99.646","99.646000","1.801306","0.196524","N/A"
"BTF  11/25","8/21/2025","FR0128690726","Conventional","N/A","11/5/2025","99.614","N/A","1.935000","0.199229","N/A"
"LET  11/25","8/21/2025","ES0L02511076","Conventional","N/A","11/7/2025","99.597","N/A","1.968000","0.204727","N/A"
"EUB  11/25","8/21/2025","EU000A4EAKN8","Conventional","N/A","11/7/2025","99.598","N/A","1.964000","0.204729","N/A"
"BTF  11/25","8/21/2025","FR0129132652","Conventional","N/A","11/12/2025","99.571","N/A","1.965000","0.218502","N/A"
"BTC  11/25","8/21/2025","BE0312803753","Conventional","N/A","11/13/2025","99.569","N/A","1.946000","0.221265","N/A"
"RFTB  11/25","8/21/2025","FI4000582762","Conventional","N/A","11/13/2025","99.568","N/A","1.954250","0.221261","N/A"
"BOT  11/25","8/21/2025","IT0005621401","Conventional","N/A","11/14/2025","99.569","N/A","1.925500","0.224029","N/A"
"BTPS 2.5 11/25","8/21/2025","IT0005345183","Conventional","2.500","11/15/2025","100.100","100.792930","1.943461","0.232280","0.692930"
"BUB  11/25","8/21/2025","DE000BU0E238","Conventional","N/A","11/19/2025","99.614","N/A","1.621452","0.237967","N/A"
"BTF  11/25","8/21/2025","FR0128983964","Conventional","N/A","11/19/2025","99.534","N/A","1.959000","0.237776","N/A"
"PTC  11/25","8/21/2025","PTPBTOGE0068","Conventional","N/A","11/21/2025","99.526","N/A","1.949000","0.243285","N/A"
"FRTR 1 11/25","8/21/2025","FR0012938116","Conventional","1.000","11/25/2025","99.750","100.497945","1.954828","0.254285","0.747945"
"BTF  11/25","8/21/2025","FR0129132660","Conventional","N/A","11/26/2025","99.492","N/A","1.978250","0.257020","N/A"
"DTC  11/25","8/21/2025","NL0015002IJ9","Conventional","N/A","11/27/2025","99.494","N/A","1.946000","0.259791","N/A"
"BOT  11/25","8/21/2025","IT0005652554","Conventional","N/A","11/28/2025","99.489","N/A","1.948000","0.262539","N/A"
"BTPS 2 12/25","8/21/2025","IT0005127086","Conventional","2.000","12/1/2025","100.004","100.468480","1.943418","0.270790","0.464480"
"BTF  12/25","8/21/2025","FR0128690734","Conventional","N/A","12/3/2025","99.460","N/A","1.954500","0.276278","N/A"
"LET  12/25","8/21/2025","ES0L02512058","Conventional","N/A","12/5/2025","99.452","N/A","1.944000","0.281781","N/A"
"EUB  12/25","8/21/2025","EU000A4EB329","Conventional","N/A","12/5/2025","99.449","N/A","1.953750","0.281774","N/A"
"BUB  12/25","8/21/2025","DE000BU0E253","Conventional","N/A","12/10/2025","99.562","N/A","1.478750","0.295922","N/A"
"BTC  12/25","8/21/2025","BE0312807796","Conventional","N/A","12/11/2025","99.422","N/A","1.938000","0.298266","N/A"
"BKO 3.1 12/25","8/21/2025","DE000BU22031","Conventional","3.100","12/12/2025","100.335","102.509247","1.903352","0.301043","2.174247"
"BOT  12/25","8/21/2025","IT0005627853","Conventional","N/A","12/12/2025","99.419","N/A","1.930500","0.301018","N/A"
"BTF  12/25","8/21/2025","FR0128983972","Conventional","N/A","12/17/2025","99.382","N/A","1.965000","0.314708","N/A"
"BTF  12/25","8/21/2025","FR0128690742","Conventional","N/A","12/31/2025","99.300","N/A","1.982750","0.353067","N/A"
"EUB  01/26","8/21/2025","EU000A3L7AT2","Conventional","N/A","1/9/2026","99.254","N/A","1.974250","0.377718","N/A"
"BUB  01/26","8/21/2025","DE000BU0E246","Conventional","N/A","1/14/2026","99.289","N/A","1.816500","0.391638","N/A"
"BTF  01/26","8/21/2025","FR0128983980","Conventional","N/A","1/14/2026","99.228","N/A","1.972750","0.391399","N/A"
"BOT  01/26","8/21/2025","IT0005631533","Conventional","N/A","1/14/2026","99.237","N/A","1.949000","0.391435","N/A"
"BTC  01/26","8/21/2025","BE0312808802","Conventional","N/A","1/15/2026","99.232","N/A","1.947875","0.394172","N/A"
"BTPS 3.5 01/26","8/21/2025","IT0005514473","Conventional","3.500","1/15/2026","100.563","100.952950","1.987618","0.394111","0.389950"
"NETHR  01/26","8/21/2025","NL0015000QL2","Conventional","N/A","1/15/2026","99.251","99.251000","1.899824","0.394247","N/A"
"LET  01/26","8/21/2025","ES0L02601166","Conventional","N/A","1/16/2026","99.218","N/A","1.969909","0.396873","N/A"
"PTC  01/26","8/21/2025","PTPBTDGE0061","Conventional","N/A","1/16/2026","99.220","N/A","1.966500","0.396878","N/A"
"BTF  01/26","8/21/2025","FR0128838499","Conventional","N/A","1/28/2026","99.155","N/A","1.966750","0.429671","N/A"
"BTPS 3.2 01/26","8/21/2025","IT0005584302","Conventional","3.200","1/28/2026","100.490","100.733480","1.985101","0.429638","0.243480"
"RATB  01/26","8/21/2025","AT0000A3MUB5","Conventional","N/A","1/29/2026","99.146","N/A","1.974000","0.432389","N/A"
"DTC  01/26","8/21/2025","NL0015002KV0","Conventional","N/A","1/29/2026","99.160","N/A","1.941500","0.432450","N/A"
"UKT 0.125 01/26","8/21/2025","GB00BL68HJ26","Conventional","0.125","1/30/2026","98.624","98.631812","3.288477","0.434789","0.007812"
"BOT  01/26","8/21/2025","IT0005664484","Conventional","N/A","1/30/2026","99.133","N/A","1.992209","0.435085","N/A"
"SPGB  01/26","8/21/2025","ES0000012G91","Conventional","N/A","1/31/2026","99.155","99.155000","1.905543","0.443443","N/A"
"BTPS 0.5 02/26","8/21/2025","IT0005419848","Conventional","0.500","2/1/2026","99.359","99.391610","1.931130","0.443393","0.032610"
"LET  02/26","8/21/2025","ES0L02602065","Conventional","N/A","2/6/2026","99.106","N/A","1.969000","0.454234","N/A"
"EUB  02/26","8/21/2025","EU000A4D5551","Conventional","N/A","2/6/2026","99.108","N/A","1.963500","0.454245","N/A"
"BTF  02/26","8/21/2025","FR0129132694","Conventional","N/A","2/11/2026","99.070","N/A","1.987750","0.467831","N/A"
"BTC  02/26","8/21/2025","BE0312809818","Conventional","N/A","2/12/2026","99.084","N/A","1.947250","0.470647","N/A"
"GGB  02/26","8/21/2025","GR0114032577","Conventional","N/A","2/12/2026","99.142","99.142000","1.821948","0.470924","N/A"
"RFTB  02/26","8/21/2025","FI4000586748","Conventional","N/A","2/13/2026","99.060","N/A","1.987000","0.473285","N/A"
"BOT  02/26","8/21/2025","IT0005635351","Conventional","N/A","2/13/2026","99.064","N/A","1.977000","0.473307","N/A"
"DBR 0.5 02/26","8/21/2025","DE0001102390","Conventional","0.500","2/15/2026","99.358","99.619644","1.817933","0.481853","0.261644"
"BUB  02/26","8/21/2025","DE000BU0E261","Conventional","N/A","2/18/2026","99.091","N/A","1.865500","0.487198","N/A"
"FRTR  02/26","8/21/2025","FR0013508470","Conventional","N/A","2/25/2026","99.037","99.037000","1.902451","0.506189","N/A"
"BTF  02/26","8/21/2025","FR0128838507","Conventional","N/A","2/25/2026","98.998","N/A","1.980000","0.505990","N/A"
"BTPS 4.5 03/26","8/21/2025","IT0004644735","Conventional","4.500","3/1/2026","101.274","103.438400","1.996703","0.508671","2.164400"
"EU  03/26","8/21/2025","EU000A3KNYF7","Conventional","N/A","3/4/2026","98.989","98.989000","1.925012","0.525192","N/A"
"LET  03/26","8/21/2025","ES0L02603063","Conventional","N/A","3/6/2026","98.948","N/A","1.982266","0.530474","N/A"
"OATEI 0.1 03/26","8/21/2025","FR0013519253","Conventional","0.100","3/1/2026","99.499","99.558218","1.080377","0.522102","0.059218"
"EUB  03/26","8/21/2025","EU000A4D7LB6","Conventional","N/A","3/6/2026","98.946","N/A","1.987561","0.530459","N/A"
"BTC  03/26","8/21/2025","BE0312810824","Conventional","N/A","3/12/2026","98.934","N/A","1.949500","0.546884","N/A"
"BOT  03/26","8/21/2025","IT0005640666","Conventional","N/A","3/13/2026","98.908","N/A","1.988000","0.549487","N/A"
"RAGB 4.85 03/26","8/21/2025","AT0000A0DXC2","Conventional","4.850","3/15/2026","101.584","103.749890","1.880420","0.557972","2.165890"
"BUB  03/26","8/21/2025","DE000BU0E279","Conventional","N/A","3/18/2026","98.936","N/A","1.888887","0.563385","N/A"
"BKO 2.5 03/26","8/21/2025","DE000BU22049","Conventional","2.500","3/19/2026","100.320","101.409041","1.880040","0.566132","1.089041"
"PTC  03/26","8/21/2025","PTPBTYGE0041","Conventional","N/A","3/20/2026","98.881","N/A","1.968000","0.568566","N/A"
"BTF  03/26","8/21/2025","FR0128838515","Conventional","N/A","3/25/2026","98.849","N/A","1.977000","0.582112","N/A"
"OLO 4.5 03/26","8/21/2025","BE0000324336","Conventional","4.500","3/28/2026","101.458","103.307315","1.915303","0.595898","1.849315"
"BTPS  04/26","8/21/2025","IT0005437147","Conventional","N/A","4/1/2026","98.831","98.831000","1.944374","0.601222","N/A"
"BTC  04/26","8/21/2025","BE0312811830","Conventional","N/A","4/9/2026","98.782","N/A","1.955875","0.622874","N/A"
"OBL  04/26","8/21/2025","DE0001141836","Conventional","N/A","4/10/2026","98.834","98.834000","1.862773","0.625949","N/A"
"LET  04/26","8/21/2025","ES0L02604103","Conventional","N/A","4/10/2026","98.762","N/A","1.979000","0.625494","N/A"
"EUB  04/26","8/21/2025","EU000A4D85N4","Conventional","N/A","4/10/2026","98.759","N/A","1.984635","0.625472","N/A"
"BOT  04/26","8/21/2025","IT0005645509","Conventional","N/A","4/14/2026","98.734","N/A","1.989000","0.636288","N/A"
"BUB  04/26","8/21/2025","DE000BU0E287","Conventional","N/A","4/15/2026","98.794","N/A","1.886375","0.639416","N/A"
"RFGB 0.5 04/26","8/21/2025","FI4000197959","Conventional","0.500","4/15/2026","99.055","99.235822","1.968278","0.639081","0.180822"
"CCT 2.744 04/26","8/21/2025","IT0005428617","Conventional","2.744","4/15/2026","100.388","101.394130","2.017389","N/A","1.006130"
"BTPS 3.8 04/26","8/21/2025","IT0005538597","Conventional","3.800","4/15/2026","101.124","102.494490","1.996921","0.629712","1.370490"
"BTF  04/26","8/21/2025","FR0128983998","Conventional","N/A","4/22/2026","98.695","N/A","1.983000","0.657968","N/A"
"FRTR 3.5 04/26","8/21/2025","FR0010916924","Conventional","3.500","4/25/2026","100.998","102.167863","1.915892","0.671796","1.169863"
"SPGB 1.95 04/26","8/21/2025","ES00000127Z9","Conventional","1.950","4/30/2026","99.991","100.616068","1.924496","0.679875","0.625068"
"LET  05/26","8/21/2025","ES0L02605084","Conventional","N/A","5/8/2026","98.619","N/A","1.968796","0.701293","N/A"
"DBREI 0.1 04/26","8/21/2025","DE0001030567","Conventional","0.100","4/15/2026","98.902","98.948700","1.839576","0.639710","0.046700"
"EUB  05/26","8/21/2025","EU000A4EAKP3","Conventional","N/A","5/8/2026","98.611","N/A","1.980500","0.701235","N/A"
"BUB  05/26","8/21/2025","DE000BU0E295","Conventional","N/A","5/13/2026","98.637","N/A","1.905878","0.715119","N/A"
"RFTB  05/26","8/21/2025","FI4000590971","Conventional","N/A","5/13/2026","98.567","N/A","2.005617","0.714609","N/A"
"BTC  05/26","8/21/2025","BE0312812846","Conventional","N/A","5/14/2026","98.616","N/A","1.928500","0.717705","N/A"
"BOT  05/26","8/21/2025","IT0005650574","Conventional","N/A","5/14/2026","98.573","N/A","1.989000","0.717393","N/A"
"IRISH 1 05/26","8/21/2025","IE00BV8C9418","Conventional","1.000","5/15/2026","99.312","99.591452","1.935960","0.720367","0.279452"
"BTPEI 0.65 05/26","8/21/2025","IT0005415416","Conventional","0.650","5/15/2026","99.526","99.746193","1.314917","0.722084","0.220193"
"BTF  05/26","8/21/2025","FR0128984004","Conventional","N/A","5/20/2026","98.543","N/A","1.985500","0.733601","N/A"
"PTC  05/26","8/21/2025","PTPBTEGE0052","Conventional","N/A","5/22/2026","98.532","N/A","1.986500","0.738990","N/A"
"FRTR 0.5 05/26","8/21/2025","FR0013131877","Conventional","0.500","5/25/2026","98.923","99.049027","1.931741","0.747385","0.126027"
"SPGB 2.8 05/26","8/21/2025","ES0000012L29","Conventional","2.800","5/31/2026","100.570","101.229726","1.994398","0.765897","0.659726"
"BTPS 1.6 06/26","8/21/2025","IT0005170839","Conventional","1.600","6/1/2026","99.733","100.104580","1.930703","0.762291","0.371580"
"LET  06/26","8/21/2025","ES0L02606058","Conventional","N/A","6/5/2026","98.473","N/A","1.965593","0.776843","N/A"
"EUB  06/26","8/21/2025","EU000A4EB337","Conventional","N/A","6/5/2026","98.469","N/A","1.971088","0.776810","N/A"
"BTC  06/26","8/21/2025","BE0312813851","Conventional","N/A","6/11/2026","98.468","N/A","1.932000","0.793211","N/A"
"BOT  06/26","8/21/2025","IT0005655037","Conventional","N/A","6/12/2026","98.410","N/A","1.999367","0.795477","N/A"
"BUB  06/26","8/21/2025","DE000BU0E303","Conventional","N/A","6/17/2026","98.479","N/A","1.879000","0.809713","N/A"
"BTF  06/26","8/21/2025","FR0128984012","Conventional","N/A","6/17/2026","98.389","N/A","1.991500","0.808976","N/A"
"BKO 2.9 06/26","8/21/2025","DE000BU22056","Conventional","2.900","6/18/2026","100.778","101.318274","1.892298","0.812319","0.540274"
"OLO 1 06/26","8/21/2025","BE0000337460","Conventional","1.000","6/22/2026","99.224","99.399342","1.925976","0.822860","0.175342"
"EUB  07/26","8/21/2025","EU000A4EDCQ2","Conventional","N/A","7/3/2026","98.319","N/A","1.973000","0.852096","N/A"
"EU  07/26","8/21/2025","EU000A3KTGV8","Conventional","N/A","7/6/2026","98.305","98.305000","1.970544","0.860169","N/A"
"BTC  07/26","8/21/2025","BE0312814867","Conventional","N/A","7/9/2026","98.280","N/A","1.981750","0.868136","N/A"
"LET  07/26","8/21/2025","ES0L02607106","Conventional","N/A","7/10/2026","98.271","N/A","1.985069","0.870794","N/A"
"BOT  07/26","8/21/2025","IT0005660029","Conventional","N/A","7/14/2026","98.246","N/A","1.989893","0.881484","N/A"
"RAGB 2 07/26","8/21/2025","AT0000A308C5","Conventional","2.000","7/15/2026","100.018","100.242658","1.947876","0.884494","0.224658"
"BUB  07/26","8/21/2025","DE000BU0E311","Conventional","N/A","7/15/2026","98.334","N/A","1.882000","0.885010","N/A"
"BTF  07/26","8/21/2025","FR0129132728","Conventional","N/A","7/15/2026","98.236","N/A","1.995750","0.884120","N/A"
"BTPS 2.1 07/26","8/21/2025","IT0005370306","Conventional","2.100","7/15/2026","100.085","100.318970","1.984232","0.879040","0.233970"
"NETHR 0.5 07/26","8/21/2025","NL0011819040","Conventional","0.500","7/15/2026","98.743","98.799164","1.912787","0.884769","0.056164"
"PTC  07/26","8/21/2025","PTPBTBGE0071","Conventional","N/A","7/17/2026","98.227","N/A","1.993000","0.889502","N/A"
"PGB 2.875 07/26","8/21/2025","PTOTETOE0012","Conventional","2.875","7/21/2026","100.812","101.087685","1.928819","0.900741","0.275685"
"UKT 1.5 07/26","8/21/2025","GB00BYZW3G56","Conventional","1.500","7/22/2026","97.856","97.982359","3.939629","0.879564","0.126359"
"GREECE 1.875 07/26","8/21/2025","GR0118019679","Conventional","1.875","7/23/2026","99.901","100.070521","1.955286","0.905887","0.169521"
"SPGB 5.9 07/26","8/21/2025","ES00000123C7","Conventional","5.900","7/30/2026","103.534","103.954274","1.987660","0.924365","0.420274"
"BTPS  08/26","8/21/2025","IT0005454241","Conventional","N/A","8/1/2026","98.270","98.270000","1.847709","0.936295","N/A"
"LET  08/26","8/21/2025","ES0L02608070","Conventional","N/A","8/7/2026","98.116","N/A","1.992508","0.945726","N/A"
"EUB  08/26","8/21/2025","EU000A4EEWF1","Conventional","N/A","8/7/2026","98.120","N/A","1.987954","0.945766","N/A"
"BTF  08/26","8/21/2025","FR0129132736","Conventional","N/A","8/12/2026","98.078","N/A","2.004500","0.958982","N/A"
"BTC  08/26","8/21/2025","BE0312815872","Conventional","N/A","8/13/2026","98.084","N/A","1.992068","0.961769","N/A"
"BOT  08/26","8/21/2025","IT0005666851","Conventional","N/A","8/14/2026","98.061","N/A","2.011154","0.964264","N/A"
"DBR  08/26","8/21/2025","DE0001102408","Conventional","N/A","8/15/2026","98.189","98.189000","1.859901","0.973708","N/A"
"BUB  08/26","8/21/2025","DE000BU0E329","Conventional","N/A","8/19/2026","98.148","N/A","1.892250","0.978753","N/A"
"BTPS 3.1 08/26","8/21/2025","IT0005607269","Conventional","3.100","8/28/2026","101.004","102.528310","2.099135","0.965509","1.524310"
"EU 3 09/26","8/21/2025","EU000A1GVVF8","Conventional","3.000","9/4/2026","101.028","103.945808","1.978563","0.979178","2.917808"
"RFGB  09/26","8/21/2025","FI4000511449","Conventional","N/A","9/15/2026","97.974","97.974000","1.954301","1.037263","N/A"
"BTPS 3.85 09/26","8/21/2025","IT0005556011","Conventional","3.850","9/15/2026","101.816","103.521300","2.113826","1.008044","1.705300"
"BKO 2.7 09/26","8/21/2025","DE000BU22064","Conventional","2.700","9/17/2026","100.798","103.726224","1.932409","1.013592","2.928224"
"FRTR 2.5 09/26","8/21/2025","FR001400FYQ4","Conventional","2.500","9/24/2026","100.553","102.847520","1.976736","1.037416","2.294520"
"EU 2.75 10/26","8/21/2025","EU000A3K4D82","Conventional","2.750","10/5/2026","100.798","103.239096","2.014797","1.064308","2.441096"
"OBL  10/26","8/21/2025","DE0001141844","Conventional","N/A","10/9/2026","97.891","97.891000","1.915725","1.102173","N/A"
"RAGB 0.75 10/26","8/21/2025","AT0000A1K9C8","Conventional","0.750","10/20/2026","98.633","99.267932","1.959343","1.123871","0.634932"
"EU 0.25 10/26","8/21/2025","EU000A3K4DA4","Conventional","0.250","10/22/2026","98.017","98.227274","1.997726","1.133718","0.210274"
"UKT 0.375 10/26","8/21/2025","GB00BNNGP668","Conventional","0.375","10/22/2026","96.196","96.321000","3.737193","1.142435","0.125000"
"BTPEI 3.1 09/26","8/21/2025","IT0004735152","Conventional","3.100","9/15/2026","102.811","104.676864","0.432097","1.030359","1.865864"
"SPGB 1.3 10/26","8/21/2025","ES00000128H5","Conventional","1.300","10/31/2026","99.157","100.218370","2.016920","1.152795","1.061370"
"BTPS 7.25 11/26","8/21/2025","IT0001086567","Conventional","7.250","11/1/2026","106.116","108.401330","2.001789","1.115675","2.285330"
